2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
51-2031,Engine and Other Machine Assemblers,detailed,Line item,50.9,41.3,-9.6,-18.9,—,4.7,50850.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as an expected increase in the use of collaborative robotics in production increases efficiency, allowing more output to be produced with the same amount of labor.",0.82,8,–,–,–,–,–
51-2041,Structural Metal Fabricators and Fitters,detailed,Line item,59.6,49.8,-9.8,-16.4,—,4.6,47200.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor.",0.41,20,–,–,–,–,–
51-2051,Fiberglass Laminators and Fabricators,detailed,Line item,22.6,22.5,-0.1,-0.3,1.5,2.4,38110.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,,,,,,
51-2061,Timing Device Assemblers and Adjusters,detailed,Line item,0.4,0.3,-0.1,-18.7,—,0.0,42290.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Demand change, productivity change - share decreases as production continues to increase efficiency even as demand shifts away from legacy timing devices.",,,,,,,
51-2090,Miscellaneous Assemblers and Fabricators,broad,Line item,1500.4,1388.6,-111.8,-7.5,1.5,141.4,37280.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor.",,1047,37.5,66,21.5,7.7,23.9
51-2090,Miscellaneous Assemblers and Fabricators,detailed,Line item,1500.4,1388.6,-111.8,-7.5,1.5,141.4,37280.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor.",,1047,37.5,66,21.5,7.7,23.9
51-3000,Food Processing Workers,minor,Summary,841.7,869.3,27.6,3.3,1.7,115.4,35320.0,—,—,—,,,,,,,,
51-3011,Bakers,detailed,Line item,218.8,229.6,10.8,4.9,4,33.8,32780.0,No formal educational credential,,Moderate-term on-the-job training,Demand change - share increases as a variety of new baked goods are produced to meet increasing demand for convenient food.,0.89,230,63.6,77.5,10,8.5,31.7
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,Summary,353.8,354.1,0.4,0.1,0.4,41.7,35870.0,—,—,—,,,252,25.4,70.7,18.3,7.5,33.2
51-3021,Butchers and Meat Cutters,detailed,Line item,131.6,130.1,-1.6,-1.2,0.4,15.3,36930.0,No formal educational credential,,Long-term on-the-job training,,0.93,,,,,,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,Line item,141.0,143.8,2.8,2.0,0.4,17.0,35070.0,No formal educational credential,,Short-term on-the-job training,,0.94,,,,,,
51-3023,Slaughterers and Meat Packers,detailed,Line item,81.1,80.3,-0.8,-1.0,0.4,9.4,35240.0,No formal educational credential,,Short-term on-the-job training,Productivity change - share decreases as automated systems are adopted in slaughtering.,0.6,,,,,,
51-3090,Miscellaneous Food Processing Workers,broad,Summary,269.2,285.6,16.4,6.1,1.6,39.9,36190.0,—,—,—,,,,,,,,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,Line item,21.5,22.2,0.7,3.0,4.7,3.0,37790.0,No formal educational credential,,Moderate-term on-the-job training,,0.91,9,–,–,–,–,–
