2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,Summary,2422.9,2649.1,226.2,9.3,3.9,233.4,49330.0,—,—,—,,,,,,,,
21-1010,Counselors,broad,Summary,954.8,1068.7,113.9,11.9,7.8,89.2,51180.0,—,—,—,,,,,,,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,Line item,342.4,360.8,18.4,5.4,1.2,26.6,60140.0,Master's degree,,,Demand change - share increases as more departments add career counselors to help students.,0.0085,408,75.3,75.4,17.6,3,11.4
21-1013,Marriage and Family Therapists,detailed,Line item,71.2,81.8,10.6,14.9,10.7,5.9,56570.0,Master's degree,,Internship/residency,,0.014,38,–,–,–,–,–
21-1015,Rehabilitation Counselors,detailed,Line item,84.8,86.4,1.6,1.9,0.8,6.7,39990.0,Master's degree,,,,0.0094,21,–,–,–,–,–
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,Line item,388.2,459.6,71.5,18.4,8.4,42.0,49710.0,Bachelor's degree,,,Demand change - share increases as a stronger emphasis on holistic care and treatment in health care models increases demand for research in the fields of substance abuse and mental health.,,137,70.4,74.6,16.3,3.4,15.9
21-1019,"Counselors, All Other",detailed,Line item,68.2,80.0,11.7,17.2,43.5,8.0,43390.0,Master's degree,,,,,248,69.9,76.1,19.1,1.6,13.3
21-1020,Social Workers,broad,Summary,728.6,782.5,53.8,7.4,2.2,63.8,55350.0,—,—,—,,,,,,,,
21-1021,"Child, Family, and School Social Workers",detailed,Line item,355.3,374.3,18.9,5.3,—,29.5,50820.0,Bachelor's degree,,,,0.028,72,86,61.3,30.5,6.2,11.1
21-1022,Healthcare Social Workers,detailed,Line item,191.4,209.8,18.4,9.6,1.4,18.7,60280.0,Master's degree,,Internship/residency,,0.0035,89,73.6,69.3,23.5,5.8,13.9
21-1023,Mental Health and Substance Abuse Social Workers,detailed,Line item,113.5,125.5,12.0,10.6,2.8,9.5,51240.0,Master's degree,,Internship/residency,,0.0031,24,–,–,–,–,–
21-1029,"Social Workers, All Other",detailed,Line item,68.4,72.9,4.5,6.6,15.1,6.0,61420.0,Bachelor's degree,,,,,731,81.5,65.4,27.3,4.2,17.3
21-1090,Miscellaneous Community and Social Service Specialists,broad,Summary,739.5,797.9,58.4,7.9,0.5,80.5,44050.0,—,—,—,,,,,,,,
21-1091,Health Education Specialists,detailed,Line item,60.4,64.8,4.4,7.2,1.5,6.6,59990.0,Bachelor's degree,,,,0.045,,,,,,
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,Line item,93.9,96.2,2.4,2.5,—,7.4,59860.0,Bachelor's degree,,Moderate-term on-the-job training,,0.25,70,53.4,77.5,21.5,0.6,26
21-1093,Social and Human Service Assistants,detailed,Line item,415.1,450.6,35.6,8.6,0.1,47.4,38520.0,High school diploma or equivalent,,Short-term on-the-job training,,0.13,228,79.2,67.8,25,1.8,16.9
21-1094,Community Health Workers,detailed,Line item,67.2,76.6,9.4,14.1,1.7,8.0,46190.0,High school diploma or equivalent,,Short-term on-the-job training,"Demand change - share increases as community health workers are uniquely positioned to support cost-effective healthcare services, such as advising members of the public or community groups on issues related to improving general health, including diet, exercise, and reducing the spread of communicable diseases.",,,,,,,
21-1099,"Community and Social Service Specialists, All Other",detailed,Line item,103.0,109.7,6.7,6.5,1.3,11.1,47290.0,Bachelor's degree,,,,,112,69.2,70.9,20.4,2.7,21.7
21-2000,Religious Workers,minor,Summary,513.5,515.1,1.5,0.3,4.8,48.2,50680.0,—,—,—,,,,,,,,
21-2011,Clergy,detailed,Line item,266.7,268.2,1.5,0.6,8,21.9,55550.0,Bachelor's degree,,Moderate-term on-the-job training,,0.0081,434,18.9,79.7,9.9,6.1,10.2
21-2021,"Directors, Religious Activities and Education",detailed,Line item,171.0,170.6,-0.4,-0.2,0.8,16.3,49380.0,Bachelor's degree,Less than 5 years,,Demand change - share increases as more families are able to choose religious based schools.,0.025,68,62.8,91,7.8,1.1,9.5
21-2099,"Religious Workers, All Other",detailed,Line item,75.8,76.2,0.4,0.6,2.5,10.0,39370.0,Bachelor's degree,,,,,68,67.8,90.4,1.8,4.5,11.8
23-0000,Legal Occupations,major,Summary,1362.4,1442.3,80.0,5.9,8.7,91.7,95170.0,—,—,—,,,1861,52.6,84.1,8.5,4.9,10.9
23-1000,"Lawyers, Judges, and Related Workers",minor,Summary,894.5,958.5,64.0,7.2,12,42.2,133510.0,—,—,—,,,,,,,,
23-1010,Lawyers and Judicial Law Clerks,broad,Summary,842.6,905.3,62.7,7.4,12.6,40.1,134140.0,—,—,—,,,,,,,,
23-1011,Lawyers,detailed,Line item,826.3,888.7,62.4,7.5,12.8,39.1,135740.0,Doctoral or professional degree,,,Sourcing change - share increases as companies insource their legal needs from outside law firms to their own in-house legal departments as a way to cut down on costs.,0.035,1141,38.5,87.8,6.3,3.8,6.5
23-1012,Judicial Law Clerks,detailed,Line item,16.3,16.6,0.4,2.3,—,1.0,57490.0,Doctoral or professional degree,,,,0.41,21,–,–,–,–,–
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,Summary,51.9,53.2,1.3,2.4,1.9,2.1,113600.0,—,—,—,,,68,56.2,81.3,12.4,6.1,3.3
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,Line item,13.2,13.4,0.1,1.1,—,0.5,94990.0,Doctoral or professional degree,5 years or more,Short-term on-the-job training,,0.64,,,,,,
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,Line item,9.1,9.6,0.5,5.0,10.5,0.4,64030.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,,0.06,,,,,,
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,Line item,29.6,30.2,0.7,2.2,—,1.2,151030.0,Doctoral or professional degree,5 years or more,Short-term on-the-job training,,0.4,,,,,,
23-2000,Legal Support Workers,minor,Summary,467.9,483.8,16.0,3.4,2.5,49.4,58810.0,—,—,—,,,,,,,,
23-2011,Paralegals and Legal Assistants,detailed,Line item,354.3,369.1,14.8,4.2,1.4,38.0,59200.0,Associate's degree,,,,0.94,445,83.2,77.9,12.3,5.7,20.2
23-2090,Miscellaneous Legal Support Workers,broad,Summary,113.6,114.7,1.1,1.0,6,11.4,56850.0,—,—,—,,,,,,,,
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,Line item,62.2,63.3,1.0,1.7,6.3,6.0,50490.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Sourcing change - share decreases as law firms outsource an increasing amount of back office, administrative, and non-lawyer functions as a way to streamline operations and lower costs for clients.",0.99,104,63.7,74.5,11.9,9.5,15.4
23-2099,"Legal Support Workers, All Other",detailed,Line item,51.4,51.5,0.1,0.2,5.6,5.4,62340.0,Associate's degree,,,"Sourcing change - share decreases as law firms outsource an increasing amount of back office, administrative, and non-lawyer functions as a way to streamline operations and lower costs for clients.",,80,62.1,80.2,12.8,6.1,18.8
25-0000,Educational Instruction and Library Occupations,major,Summary,9354.1,9570.6,216.5,2.3,1.9,857.6,57490.0,—,—,—,,,9220,73.3,80.4,11.2,5.4,11.7
25-1000,Postsecondary Teachers,minor,Summary,1709.8,1826.8,117.0,6.8,0.2,149.2,79080.0,—,—,—,,0.032,1087,48.4,79.5,7.5,10.8,8
25-1011,"Business Teachers, Postsecondary",detailed,Line item,99.9,106.9,6.9,6.9,0.2,8.7,88790.0,Doctoral or professional degree,,,Demand change - share decreases as demand for business degrees is expected to decrease.,,,,,,,
25-1020,"Math and Computer Science Teachers, Postsecondary",broad,Summary,98.0,102.0,4.0,4.1,0.1,8.2,79810.0,—,—,—,,,,,,,,
25-1021,"Computer Science Teachers, Postsecondary",detailed,Line item,42.0,44.3,2.2,5.3,0.2,3.6,84760.0,Doctoral or professional degree,,,Demand change - share increases as labor market demand for STEM occupations and growing numbers of degrees conferred in computer science result in additional computer science professors.,,,,,,,
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,Line item,55.9,57.7,1.8,3.2,0.1,4.6,77420.0,Doctoral or professional degree,,,,,,,,,,
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,Summary,53.7,58.2,4.5,8.4,0.2,4.8,102810.0,—,—,—,,,,,,,,
25-1031,"Architecture Teachers, Postsecondary",detailed,Line item,8.2,8.5,0.3,3.8,—,0.7,93220.0,Doctoral or professional degree,,,,,,,,,,
25-1032,"Engineering Teachers, Postsecondary",detailed,Line item,45.5,49.7,4.2,9.3,0.1,4.1,103550.0,Doctoral or professional degree,,,Demand change - share increases as demand for engineering degrees is expected to increase.,,,,,,,
25-1040,"Life Sciences Teachers, Postsecondary",broad,Summary,74.0,79.9,5.9,8.0,0.2,6.6,82740.0,—,—,—,,,,,,,,
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,Line item,10.1,10.5,0.5,4.8,—,0.8,85860.0,Doctoral or professional degree,,,,,,,,,,
25-1042,"Biological Science Teachers, Postsecondary",detailed,Line item,62.4,67.7,5.3,8.6,0.2,5.6,81650.0,Doctoral or professional degree,,,Demand change - share increases as demand for biology courses is expected to increase.,,,,,,,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,Line item,1.5,1.6,0.1,5.2,—,0.1,96500.0,Doctoral or professional degree,,,,,,,,,,
25-1050,"Physical Sciences Teachers, Postsecondary",broad,Summary,63.5,65.9,2.4,3.7,0.2,5.3,83700.0,—,—,—,,,,,,,,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,Line item,13.6,14.1,0.5,3.6,—,1.1,97770.0,Doctoral or professional degree,,,,,,,,,,
25-1052,"Chemistry Teachers, Postsecondary",detailed,Line item,25.9,26.8,0.9,3.5,—,2.1,80720.0,Doctoral or professional degree,,,,,,,,,,
25-1053,"Environmental Science Teachers, Postsecondary",detailed,Line item,7.9,8.2,0.3,4.2,—,0.7,83040.0,Doctoral or professional degree,,,,,,,,,,
25-1054,"Physics Teachers, Postsecondary",detailed,Line item,16.2,16.8,0.6,3.8,—,1.3,86550.0,Doctoral or professional degree,,,,,,,,,,
25-1060,"Social Sciences Teachers, Postsecondary",broad,Summary,141.4,147.3,5.9,4.2,0.2,11.8,80910.0,—,—,—,,,,,,,,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,Line item,6.2,6.4,0.2,4.0,—,0.5,85000.0,Doctoral or professional degree,,,,,,,,,,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,Line item,11.9,12.4,0.5,3.9,—,1.0,80910.0,Doctoral or professional degree,,,,,,,,,,
25-1063,"Economics Teachers, Postsecondary",detailed,Line item,14.8,15.4,0.6,3.8,—,1.2,103930.0,Doctoral or professional degree,,,,,,,,,,
25-1064,"Geography Teachers, Postsecondary",detailed,Line item,4.1,4.3,0.2,4.4,—,0.3,81920.0,Doctoral or professional degree,,,,,,,,,,
25-1065,"Political Science Teachers, Postsecondary",detailed,Line item,19.3,20.0,0.7,3.7,—,1.6,83770.0,Doctoral or professional degree,,,,,,,,,,
25-1066,"Psychology Teachers, Postsecondary",detailed,Line item,50.9,53.6,2.7,5.2,0.2,4.3,78810.0,Doctoral or professional degree,,,Demand change - share increases as demand for psychology degrees is expected to increase.,,,,,,,
25-1067,"Sociology Teachers, Postsecondary",detailed,Line item,15.0,15.5,0.6,3.7,—,1.2,78970.0,Doctoral or professional degree,,,,,,,,,,
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,Line item,19.2,19.7,0.5,2.6,—,1.6,75390.0,Doctoral or professional degree,,,,,,,,,,
25-1070,"Health Teachers, Postsecondary",broad,Summary,348.7,414.5,65.8,18.9,0.2,36.3,95580.0,—,—,—,,,,,,,,
25-1071,"Health Specialties Teachers, Postsecondary",detailed,Line item,262.8,313.0,50.2,19.1,0.2,27.4,100300.0,Doctoral or professional degree,Less than 5 years,,Demand change - share increases as demand for health specialty degrees is expected to increase.,,,,,,,
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,Line item,85.9,101.5,15.6,18.2,0.2,8.8,78580.0,Doctoral or professional degree,Less than 5 years,,Demand change - share increases as demand for nursing degrees is expected to increase.,,,,,,,
25-1080,"Education and Library Science Teachers, Postsecondary",broad,Summary,79.7,82.7,3.0,3.8,0.2,6.6,67920.0,—,—,—,,,,,,,,
25-1081,"Education Teachers, Postsecondary",detailed,Line item,74.3,77.1,2.8,3.7,0.2,6.2,66930.0,Doctoral or professional degree,Less than 5 years,,,,,,,,,
25-1082,"Library Science Teachers, Postsecondary",detailed,Line item,5.4,5.6,0.2,4.1,—,0.4,76370.0,Doctoral or professional degree,,,,,,,,,,
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,Summary,51.7,53.4,1.7,3.2,0.2,4.3,77580.0,—,—,—,,,,,,,,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,Line item,16.5,16.9,0.4,2.7,—,1.3,64990.0,Doctoral or professional degree,,,,,,,,,,
25-1112,"Law Teachers, Postsecondary",detailed,Line item,19.8,20.4,0.6,3.0,0.3,1.6,108860.0,Doctoral or professional degree,Less than 5 years,,,,,,,,,
25-1113,"Social Work Teachers, Postsecondary",detailed,Line item,15.5,16.1,0.6,4.0,—,1.3,66510.0,Doctoral or professional degree,,,,,,,,,,
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad,Summary,304.1,311.4,7.4,2.4,0.2,24.7,76850.0,—,—,—,,,,,,,,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,Line item,123.9,127.8,3.9,3.2,0.3,10.2,77280.0,Master's degree,,,,,,,,,,
25-1122,"Communications Teachers, Postsecondary",detailed,Line item,33.6,34.8,1.2,3.4,0.2,2.8,76250.0,Doctoral or professional degree,,,,,,,,,,
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,Line item,70.1,70.9,0.9,1.2,0.1,5.6,74280.0,Doctoral or professional degree,,,Demand change - share decreases as states prioritize workforce development programs and fields of study perceived as more valuable to the labor market.,,,,,,,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,Line item,24.7,25.0,0.3,1.4,0.2,2.0,76030.0,Doctoral or professional degree,,,Demand change - share decreases as states prioritize workforce development programs and fields of study perceived as more valuable to the labor market at the expense of humanities fields.,,,,,,,
25-1125,"History Teachers, Postsecondary",detailed,Line item,22.8,23.1,0.3,1.3,—,1.8,79400.0,Doctoral or professional degree,,,Demand change - share decreases as states prioritize workforce development programs and fields of study perceived as more valuable to the labor market at the expense of humanities fields.,,,,,,,
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,Line item,29.1,29.9,0.8,2.7,0.3,2.4,78780.0,Doctoral or professional degree,,,,,,,,,,
25-1190,Miscellaneous Postsecondary Teachers,broad,Summary,395.1,404.6,9.5,2.4,0.2,32.1,66390.0,—,—,—,,,,,,,,
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detailed,Line item,2.9,3.0,0.1,3.9,—,0.2,76440.0,Doctoral or professional degree,,,,,,,,,,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,Line item,16.3,16.8,0.5,3.3,—,1.3,72650.0,Doctoral or professional degree,,,,,,,,,,
25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,Line item,113.0,112.5,-0.6,-0.5,0.3,8.7,59840.0,Bachelor's degree,Less than 5 years,,"Demand change - share decreases as enrollments in career and technical education courses decrease in favor of other fields, such as communications, design, healthcare, and public service. Additionally, the number of high school graduates is projected to decrease.",,,,,,,
25-1199,"Postsecondary Teachers, All Other",detailed,Line item,262.8,272.3,9.4,3.6,0.1,21.8,76920.0,Doctoral or professional degree,,,"Demand change - share increases as enrollments in career and technical education courses decrease in favor of other fields, such as communications, design, healthcare, and public service.",,,,,,,
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor,Summary,4355.9,4402.1,46.1,1.1,0.5,314.3,61180.0,—,—,—,,,,,,,,
25-2010,Preschool and Kindergarten Teachers,broad,Summary,635.7,653.6,17.9,2.8,1.4,69.3,37000.0,—,—,—,,,645,97.4,74.6,16.7,4.1,13.5
25-2011,"Preschool Teachers, Except Special Education",detailed,Line item,512.3,529.6,17.2,3.4,1.7,56.3,35330.0,Associate's degree,,,Demand change - share increases as academic-based early childhood education curriculums grow in usage.,0.0074,,,,,,
25-2012,"Kindergarten Teachers, Except Special Education",detailed,Line item,123.4,124.1,0.7,0.5,0.3,13.0,60490.0,Bachelor's degree,,,,0.15,,,,,,
25-2020,Elementary and Middle School Teachers,broad,Summary,2061.6,2076.7,15.1,0.7,0.4,139.0,61730.0,—,—,—,,,3336,79.7,82.5,11.1,3.9,11.2
25-2021,"Elementary School Teachers, Except Special Education",detailed,Line item,1425.0,1435.0,10.0,0.7,0.4,96.0,61690.0,Bachelor's degree,,,,0.0044,,,,,,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,Line item,625.5,630.6,5.1,0.8,0.4,42.2,61810.0,Bachelor's degree,,,,0.17,,,,,,
25-2023,"Career/Technical Education Teachers, Middle School",detailed,Line item,11.1,11.1,0.0,0.0,—,0.7,62630.0,Bachelor's degree,Less than 5 years,,,0.26,,,,,,
25-2030,Secondary School Teachers,broad,Summary,1160.2,1171.1,10.9,0.9,0.4,72.5,62360.0,—,—,—,,,1000,58.7,85.8,8.6,3.7,9.8
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,Line item,1072.3,1083.4,11.1,1.0,0.4,67.1,62360.0,Bachelor's degree,,,,0.0078,,,,,,
25-2032,"Career/Technical Education Teachers, Secondary School",detailed,Line item,88.0,87.7,-0.2,-0.2,0.1,5.4,62500.0,Bachelor's degree,Less than 5 years,,,0.0088,,,,,,
25-2050,Special Education Teachers,broad,Summary,498.4,500.7,2.2,0.4,0.1,33.5,62950.0,—,—,—,,,369,84.2,84.6,10.8,1.4,9.4
25-2051,"Special Education Teachers, Preschool",detailed,Line item,23.8,24.3,0.5,1.9,—,1.6,62240.0,Bachelor's degree,,,,,,,,,,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,Line item,194.7,194.6,-0.1,0.0,0,12.9,62390.0,Bachelor's degree,,,,,,,,,,
25-2057,"Special Education Teachers, Middle School",detailed,Line item,82.8,82.6,-0.1,-0.2,—,5.5,62990.0,Bachelor's degree,,,,,,,,,,
25-2058,"Special Education Teachers, Secondary School",detailed,Line item,153.2,154.0,0.7,0.5,0,10.3,63560.0,Bachelor's degree,,,,,,,,,,
25-2059,"Special Education Teachers, All Other",detailed,Line item,43.9,45.2,1.3,2.9,0.2,3.1,63950.0,Bachelor's degree,,,,,,,,,,
25-3000,Other Teachers and Instructors,minor,Summary,1190.1,1223.8,33.7,2.8,11.6,158.4,38510.0,—,—,—,,,,,,,,
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,Line item,42.2,36.9,-5.3,-12.6,7,4.2,58590.0,Bachelor's degree,,,"Demand change - share decreases as enrollment rates in ABE and ASE classes are expected to decline due to fewer high school dropouts, which will reduce the need for these types of teachers.",0.19,,,,,,
25-3021,Self-Enrichment Teachers,detailed,Line item,354.7,366.1,11.4,3.2,19.4,44.1,44110.0,High school diploma or equivalent,Less than 5 years,,,0.13,,,,,,
25-3031,"Substitute Teachers, Short-Term",detailed,Line item,421.6,438.9,17.4,4.1,4.5,53.0,35250.0,Bachelor's degree,,,Demand change - share increases as an increase in paid leave for full-time teachers will increase demand for short-term substitute teachers relative to other occupations.,,,,,,,
25-3041,Tutors,detailed,Line item,223.7,231.1,7.4,3.3,14.9,39.1,36680.0,"Some college, no degree",,,Demand change - share increases as demand for tutors increases as a result of students seeking to differentiate themselves from other prospective applicants to undergraduate and graduate postsecondary degree programs.,,168,69,77.2,9.7,9.2,14.8
25-3099,"Teachers and Instructors, All Other",detailed,Line item,148.0,150.9,2.9,1.9,9.9,18.1,61250.0,Bachelor's degree,,,,,805,60.8,76.5,15,4.6,12.5
25-4000,"Librarians, Curators, and Archivists",minor,Summary,257.6,260.8,3.2,1.2,1.3,30.9,51220.0,—,—,—,,,168,82.2,86,4.3,5.1,8
25-4010,"Archivists, Curators, and Museum Technicians",broad,Summary,37.7,41.5,3.7,9.9,8.6,5.0,53420.0,—,—,—,,,70,63.4,87.6,6.3,0.8,10
25-4011,Archivists,detailed,Line item,9.4,10.2,0.8,8.2,7.5,1.2,58640.0,Master's degree,,,,0.76,,,,,,
25-4012,Curators,detailed,Line item,13.9,15.4,1.5,11.1,9.3,1.9,60380.0,Master's degree,,,,0.0068,,,,,,
25-4013,Museum Technicians and Conservators,detailed,Line item,14.4,15.9,1.4,9.9,8.7,1.9,47270.0,Bachelor's degree,,,,0.59,,,,,,
25-4022,Librarians and Media Collections Specialists,detailed,Line item,141.2,145.5,4.3,3.0,—,13.7,61660.0,Master's degree,,,,,,,,,,
25-4031,Library Technicians,detailed,Line item,78.6,73.8,-4.8,-6.1,—,12.2,37600.0,Postsecondary nondegree award,,,"Demand change - share decreases as library usage declines, resulting in reduced need for library technicians.",0.99,38,–,–,–,–,–
25-9000,Other Educational Instruction and Library Occupations,minor,Summary,1840.7,1857.2,16.4,0.9,0.5,204.8,35520.0,—,—,—,,,155,70.3,74.6,17.7,3.2,11.9
25-9021,Farm and Home Management Educators,detailed,Line item,9.7,9.5,-0.2,-2.0,—,0.8,53450.0,Master's degree,,,"Demand change - share decreases as continued industry consolidation in agriculture reduces the number of farmers, and by extension the needed number of farm and home management advisors.",0.0075,,,,,,
25-9031,Instructional Coordinators,detailed,Line item,216.6,222.0,5.3,2.5,1.2,19.2,66490.0,Master's degree,5 years or more,,,0.0042,,,,,,
25-9040,Teaching Assistants,broad,Summary,1469.1,1477.1,8.0,0.5,0.3,171.9,31320.0,—,—,—,,,1380,81.3,76.1,12.1,8.2,17.2
25-9044,"Teaching Assistants, Postsecondary",detailed,Line item,170.2,177.3,7.1,4.2,0.4,20.9,38050.0,Bachelor's degree,,,,,,,,,,
25-9045,"Teaching Assistants, Except Postsecondary",detailed,Line item,1298.9,1299.8,0.9,0.1,0.3,151.0,30920.0,"Some college, no degree",,,,,,,,,,
25-9099,"Educational Instruction and Library Workers, All Other",detailed,Line item,145.3,148.6,3.3,2.3,0.9,12.9,47650.0,Bachelor's degree,,,,,,,,,,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,Summary,3071.1,3187.0,115.9,3.8,26.2,316.9,58030.0,—,—,—,,,3441,48.8,82.8,8.3,5.5,12.7
27-1000,Art and Design Workers,minor,Summary,991.2,1020.7,29.4,3.0,29.8,95.8,51150.0,—,—,—,,,,,,,,
27-1010,Artists and Related Workers,broad,Summary,278.9,296.9,18.0,6.5,57.4,28.7,95220.0,—,—,—,,,324,49.2,83.9,6.1,5.7,14.5
27-1011,Art Directors,detailed,Line item,135.1,143.2,8.2,6.1,58.1,13.8,105180.0,Bachelor's degree,5 years or more,,,0.023,,,,,,
27-1012,Craft Artists,detailed,Line item,11.5,12.0,0.4,3.9,59.1,1.1,38150.0,No formal educational credential,,Long-term on-the-job training,,0.035,,,,,,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,Line item,29.1,30.6,1.5,5.2,58.5,2.9,57560.0,Bachelor's degree,,Long-term on-the-job training,,0.042,,,,,,
27-1014,Special Effects Artists and Animators,detailed,Line item,89.3,96.6,7.4,8.2,57.9,9.4,98950.0,Bachelor's degree,,,Productivity change - share decreases as local television broadcast affiliates consolidate and share staff in order to reduce operating costs.,0.015,,,,,,
27-1019,"Artists and Related Workers, All Other",detailed,Line item,14.0,14.5,0.5,3.4,43.3,1.4,69760.0,No formal educational credential,,Long-term on-the-job training,,,,,,,,
27-1020,Designers,broad,Summary,712.3,723.8,11.4,1.6,19,67.1,46990.0,—,—,—,,,,,,,,
27-1021,Commercial and Industrial Designers,detailed,Line item,32.4,33.0,0.7,2.0,5.1,2.2,75910.0,Bachelor's degree,,,,0.037,10,–,–,–,–,–
27-1022,Fashion Designers,detailed,Line item,24.9,25.7,0.8,3.3,17,2.3,76700.0,Bachelor's degree,,,Demand change - share increases as an expected increase in demand for a constant flow of new fashion designs has been accelerated by social media influencers and by retailers advertising and selling directly to consumers online.,0.021,22,–,–,–,–,–
27-1023,Floral Designers,detailed,Line item,54.5,44.7,-9.8,-18.0,20.5,4.7,33160.0,High school diploma or equivalent,,Moderate-term on-the-job training,Demand change - share decreases as consumers prefer unarranged flowers.,0.047,58,90.8,90,5.5,1.6,21.5
27-1024,Graphic Designers,detailed,Line item,270.9,279.8,8.9,3.3,18.7,22.8,57990.0,Bachelor's degree,,,,0.082,328,53.7,82,6.3,7.7,12.9
27-1025,Interior Designers,detailed,Line item,94.9,98.7,3.7,3.9,32,9.0,61590.0,Bachelor's degree,,,,0.022,125,88.5,87.3,2.1,8.3,11.2
27-1026,Merchandise Displayers and Window Trimmers,detailed,Line item,173.4,177.5,4.1,2.4,—,20.8,35380.0,High school diploma or equivalent,,Short-term on-the-job training,Demand change - share decreases as increasing digital advertising results in reduced demand for the services provided by in-store brick-and-mortar merchandise displayers and window trimmers.,0.48,29,–,–,–,–,–
27-1027,Set and Exhibit Designers,detailed,Line item,27.8,29.8,2.0,7.3,59.2,2.5,59990.0,Bachelor's degree,,,,0.0055,,,,,,
27-1029,"Designers, All Other",detailed,Line item,33.5,34.6,1.1,3.1,62,2.8,65390.0,Bachelor's degree,,,,,375,45.5,83,4.4,10,12.3
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,Summary,857.1,906.7,49.6,5.8,23.8,106.8,52940.0,—,—,—,,,,,,,,
27-2010,"Actors, Producers, and Directors",broad,Summary,253.4,267.6,14.2,5.6,14,25.2,75440.0,—,—,—,,,,,,,,
27-2011,Actors,detailed,Line item,78.1,80.6,2.5,3.2,26.3,9.3,,"Some college, no degree",,Long-term on-the-job training,,0.37,56,47.7,71,24.3,3.8,11.1
27-2012,Producers and Directors,detailed,Line item,175.3,187.0,11.7,6.7,8.5,16.0,85320.0,Bachelor's degree,Less than 5 years,,"Demand change - share increases as more filmed content leads to additional commercials and advertising, particularly online video ads, which also need to be produced and directed.",0.022,185,44.2,82.9,11.6,3.2,9.3
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,Summary,309.6,338.2,28.6,9.2,12.1,45.4,45080.0,—,—,—,,,39,–,–,–,–,–
27-2021,Athletes and Sports Competitors,detailed,Line item,14.0,15.2,1.3,9.1,7.8,1.9,94270.0,No formal educational credential,,Long-term on-the-job training,,0.28,297,46.7,85.9,8,3.3,13.2
27-2022,Coaches and Scouts,detailed,Line item,275.2,300.5,25.3,9.2,10.7,38.4,44890.0,Bachelor's degree,,,"Demand change - share increases as demand for sports coaching and recruiting needs grow in colleges, universities, and professional schools.",0.013,,,,,,
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,Line item,20.4,22.4,2.0,9.7,33.9,5.0,36010.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.98,32,–,–,–,–,–
27-2030,Dancers and Choreographers,broad,Summary,18.4,19.4,1.0,5.2,19.2,3.0,47050.0,—,—,—,,,22,–,–,–,–,–
27-2031,Dancers,detailed,Line item,11.5,12.2,0.6,5.3,19.3,1.9,,No formal educational credential,,Long-term on-the-job training,,0.13,,,,,,
